license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated
A95240,"Ahmed Williams, MD PhD",Ahmed,Williams,,MD PhD,Physician and Surgeon,Gastroenterology,,Expired,2021-04-20,2024-12-18,2024-08-19,6820 Pico Blvd,San Diego,CA,94001,Riverside,(213) 898-1296,,UCLA David Geffen School of Medicine,2013,UCSF Medical Center,,"English, Mandarin",True,None,Yes,,2025-05-28
A84852,"Elizabeth Thomas, DO",Elizabeth,Thomas,D,DO,Physician and Surgeon,Gastroenterology,,Expired,2023-02-28,2025-03-19,2024-05-27,4599 Melrose Ave,San Diego,CA,90004,Santa Clara,(424) 876-6259,elizabeth.thomas@email.com,UCSF School of Medicine,1992,Massachusetts General Hospital,Gastroenterology,"English, Spanish",True,None,Unknown,Cedars-Sinai Medical Center,2025-06-04
A58674,"Joseph Brown, MD PhD",Joseph,Brown,,MD PhD,Physician and Surgeon,Pediatrics,,Expired,2022-05-18,2025-05-01,2024-12-08,265 Beverly Dr,Los Angeles,CA,95001,Fresno,(626) 583-8711,,NYU Grossman School of Medicine,2008,Massachusetts General Hospital,Pediatrics,"English, Spanish, Portuguese",True,None,Yes,UCLA Medical Center,2025-05-18
A25461,"Fatima Sharma, DO",Fatima,Sharma,,DO,Physician and Surgeon,Gastroenterology,,Expired,2019-11-09,2023-06-16,2022-07-11,6679 Pico Blvd,San Francisco,CA,95001,Alameda,(646) 323-7858,fatima.sharma@email.com,Johns Hopkins School of Medicine,2012,Massachusetts General Hospital,,"English, Spanish, Portuguese",False,None,Yes,Stanford Hospital,2025-07-13
A25720,"Charles Wang, DO PhD",Charles,Wang,,DO PhD,Physician and Surgeon,Gastroenterology,,Expired,2022-07-19,2025-06-29,2025-02-18,8535 Sunset Blvd,Santa Ana,CA,90005,Santa Clara,(818) 276-6359,charles.wang@email.com,UCSF School of Medicine,2000,Johns Hopkins Hospital,,"English, Spanish",False,None,Yes,Stanford Hospital,2025-07-14
A93586,"DAVID SHAH, DO",David,Shah,,DO,Physician and Surgeon,Nephrology,,Expired,2022-06-07,2024-12-15,2024-04-22,636 Rodeo Dr,Fresno,CA,95001,Sacramento,(929) 756-8880,david.shah@email.com,Stanford University School of Medicine,2002,NewYork-Presbyterian Hospital,Nephrology,"English, Mandarin",True,None,No,UCLA Medical Center,2025-06-12
A42598,Dr. Christopher Hernandez,Christopher,Hernandez,,DO PhD,Physician and Surgeon,Internal Medicine,Pathology,Expired,2018-10-01,2023-01-28,2022-08-02,3758 Melrose Ave,San Francisco,CA,91001,San Diego,(347) 224-4768,christopher.hernandez@email.com,Columbia University Vagelos College of Physicians and Surgeons,2017,Johns Hopkins Hospital,Internal Medicine,"English, Spanish, Portuguese",False,None,No,UCSF Medical Center,2025-07-04
A29902,"Jennifer Rodriguez, MD PhD",Jennifer,Rodriguez,,MD PhD,Physician and Surgeon,Urology,,Expired,2020-10-10,2023-07-15,2022-09-01,1254 Wilshire Blvd,Oakland,CA,90001,Contra Costa,(347) 669-4320,,UCSF School of Medicine,1982,UCSF Medical Center,,"English, Spanish, Portuguese",False,None,No,,2025-05-14
A31783,Dr. Joseph Lee,Joseph,Lee,,DO PhD,Physician and Surgeon,Pulmonology,,Expired,2021-08-22,2024-02-09,2023-09-13,8429 Ventura Blvd,San Diego,CA,90002,Riverside,(213) 608-1151,joseph.lee@email.com,Columbia University Vagelos College of Physicians and Surgeons,1991,NewYork-Presbyterian Hospital,Pulmonology,English,False,None,No,Kaiser Permanente,2025-04-01
A35032,"William Johnson, MD PhD",William,Johnson,B,MD PhD,Physician and Surgeon,Pathology,,Expired,2020-09-27,2025-02-22,2024-07-07,5669 Rodeo Dr,San Jose,CA,95001,San Bernardino,(347) 536-2541,william.johnson@email.com,Harvard Medical School,1986,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,None,Unknown,,2025-03-07
A23134,"Mohammed Williams, MD PhD",Mohammed,Williams,D,MD PhD,Physician and Surgeon,Pathology,,Expired,2022-03-26,2024-01-19,2023-06-18,5880 Main St,San Francisco,CA,92001,Orange,(424) 789-8126,,University of Pennsylvania Perelman School of Medicine,1987,NewYork-Presbyterian Hospital,,"English, Spanish",False,None,Yes,Cedars-Sinai Medical Center,2025-08-31
A67219,"William Robinson, MD",William,Robinson,,MD,Physician and Surgeon,Psychiatry,Orthopedic Surgery,Expired,2019-04-22,2023-07-04,2023-05-07,3284 Sunset Blvd,Fresno,CA,900**,Sacramento,(323) 903-7456,,UCLA David Geffen School of Medicine,1987,Mount Sinai Hospital,Psychiatry,"English, Mandarin",False,None,Unknown,UCSF Medical Center,2025-07-15
A43901,"Mary Rodriguez, DO PhD",Mary,Rodriguez,,DO PhD,Physician and Surgeon,Urology,,Expired,2018-09-03,2023-08-26,2022-12-28,190 Santa Monica Blvd,Oakland,CA,92001,Fresno,(213) 744-7282,mary.rodriguez@email.com,Harvard Medical School,2010,UCLA Medical Center,Urology,English,True,None,No,UCSF Medical Center,2025-04-10
A59601,"Sarah Ramirez, DO PhD",Sarah,Ramirez,,DO PhD,Physician and Surgeon,Cardiology,Urology,Expired,2020-12-26,2023-09-10,2023-05-19,384 Melrose Ave,Santa Ana,CA,90004,Fresno,(323) 618-6767,sarah.ramirez@email.com,Columbia University Vagelos College of Physicians and Surgeons,1982,UCLA Medical Center,,"English, Spanish",False,None,Yes,UCLA Medical Center,2025-05-07
A21923,"Susan Garcia, DO PhD",Susan,Garcia,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2021-11-15,2025-01-28,2024-03-30,5326 Pico Blvd,San Jose,CA,90003,Alameda,(646) 683-4273,susan.garcia@email.com,Stanford University School of Medicine,1998,Massachusetts General Hospital,Family Medicine,"English, Mandarin",False,Yes - See Details,Unknown,Stanford Hospital,2025-08-13
A19154,"Elizabeth Robinson, DO",Elizabeth,Robinson,,DO,Physician and Surgeon,Internal Medicine,,Expired,2018-08-16,2023-01-15,2022-07-15,7269 Hollywood Blvd,San Francisco,CA,93001,Contra Costa,(818) 995-9751,elizabeth.robinson@email.com,UCSF School of Medicine,1990,Massachusetts General Hospital,Internal Medicine,"English, Mandarin",False,None,Yes,Cedars-Sinai Medical Center,2025-07-07
A48170,"Sarah Moore, MD",Sarah,Moore,,MD,Physician and Surgeon,Gastroenterology,,Expired,2020-08-20,2024-09-20,2024-04-22,2426 Ventura Blvd,FRESNO,CA,90001,Orange,347- 593-5215,sarah.moore@email.com,University of Pennsylvania Perelman School of Medicine,2016,NewYork-Presbyterian Hospital,Gastroenterology,"English, Spanish",True,None,Yes,UCLA Medical Center,2025-06-15
A94390,"John Taylor, MD PhD",John,Taylor,A,MD PhD,Physician and Surgeon,Otolaryngology,,Expired,2021-11-06,2023-11-16,2023-11-07,8468 Rodeo Dr,Santa Ana,CA,95001,San Bernardino,(646) 695-7223,john.taylor@email.com,University of Pennsylvania Perelman School of Medicine,1996,NewYork-Presbyterian Hospital,Otolaryngology,"English, Spanish, Portuguese",False,None,Unknown,Cedars-Sinai Medical Center,2025-08-25
A78697,"Robert Moore, MD",Robert,Moore,,MD,Physician and Surgeon,Neurology,,Expired,2019-08-19,2024-04-12,2024-01-31,5841 Santa Monica Blvd,Santa Ana,CA,95001,Fresno,(323) 959-9810,,University of Michigan Medical School,1989,Cleveland Clinic,Neurology,English,True,None,Unknown,Cedars-Sinai Medical Center,2025-03-21
A73908,"Joseph Perez, MD PhD",Joseph,Perez,,MD PhD,Physician and Surgeon,Radiology,,Expired,2019-04-23,2023-01-14,2022-05-21,8243 Melrose Ave,Santa Ana,CA,90002,San Bernardino,(310) 550-9824,joseph.perez@email.com,University of Pennsylvania Perelman School of Medicine,2014,Cleveland Clinic,Radiology,"English, Mandarin",True,None,Yes,UCLA Medical Center,2025-07-06
A57167,"James Shah, MD PhD",James,Shah,,MD PhD,Physician and Surgeon,Emergency Medicine,Ophthalmology,Active,2022-08-17,2025-09-05,2024-10-28,5192 Rodeo Dr,San Jose,CA,900**,San Bernardino,(929) 569-6078,james.shah@email.com,University of Pennsylvania Perelman School of Medicine,1999,Johns Hopkins Hospital,,"English, Spanish",False,None,Unknown,UCLA Medical Center,2025-07-14
A71669,"Christopher Martin, DO PhD",Christopher,Martin,,DO PhD,Physician and Surgeon,Dermatology,Family Medicine,Expired,2018-09-12,2023-03-12,2023-01-03,4345 Pico Blvd,Sacramento,CA,90001,Santa Clara,212  557.4648,christopher.martin@email.com,Stanford University School of Medicine,2016,Mount Sinai Hospital,,"English, Spanish",True,None,Yes,Cedars-Sinai Medical Center,2025-07-08
A67653,"BARBARA THOMPSON, DO",Barbara,Thompson,,DO,Physician and Surgeon,Emergency Medicine,,Expired,2020-01-14,2023-08-30,2023-06-29,9457 Rodeo Dr,Santa Ana,CA,90004,Alameda,(626) 298-6609,,NYU Grossman School of Medicine,2014,UCSF Medical Center,,English,False,None,Yes,Stanford Hospital,2025-03-30
A49167,"Carlos Lee, MD",Carlos,Lee,,MD,Physician and Surgeon,Ophthalmology,,Expired,2020-12-07,2023-09-13,2023-03-08,8530 Melrose Ave,San Diego,CA,95001,Riverside,(718) 841-8643,carlos.lee@email.com,Columbia University Vagelos College of Physicians and Surgeons,1988,Cleveland Clinic,Ophthalmology,"English, Spanish",False,None,Yes,UCLA Medical Center,2025-08-26
A22920,"Wei Wang, DO PhD",Wei,Wang,B,DO PhD,Physician and Surgeon,Cardiology,,Expired,2022-04-10,2023-07-14,2022-09-20,6269 Main St,San Diego,CA,95001,Los Angeles,(310) 787-9564,wei.wang@email.com,Harvard Medical School,1992,Cleveland Clinic,,"English, Spanish",True,None,No,Cedars-Sinai Medical Center,2025-05-13
A60160,"Jessica Anderson, MD PhD",Jessica,Anderson,,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2020-10-25,2024-02-19,2023-05-16,1660 Wilshire Blvd,Oakland,CA,91001,Sacramento,(718) 394-6087,,Yale School of Medicine,1985,Mayo Clinic,,"English, Spanish, Portuguese",False,None,No,Stanford Hospital,2025-08-06
A73343,"Joseph Anderson, DO PhD",Joseph,Anderson,,DO PhD,Physician and Surgeon,Gastroenterology,Emergency Medicine,Expired,2021-02-03,2025-06-17,2025-05-23,3539 Sunset Blvd,Los Angeles,CA,90005,Alameda,(626) 789-7342,joseph.anderson@email.com,Columbia University Vagelos College of Physicians and Surgeons,1993,UCSF Medical Center,,"English, Spanish",False,None,Unknown,Stanford Hospital,2025-03-25
A79438,"Zhang, Priya MD PhD",Priya,Zhang,D,MD PhD,Physician and Surgeon,Orthopedic Surgery,Otolaryngology,Expired,2023-04-25,2025-04-27,2024-05-10,9988 Main St,Sacramento,CA,95001,Santa Clara,718- 296-7611,priya.zhang@email.com,UCLA David Geffen School of Medicine,1990,Mount Sinai Hospital,,"English, Mandarin",False,None,Unknown,,2025-07-27
A22709,"Charles Johnson, MD PhD",Charles,Johnson,A,MD PhD,Physician and Surgeon,Urology,,Expired,2020-02-23,2023-11-13,2023-10-05,2825 Hollywood Blvd,Santa Ana,CA,90003,Orange,(424) 239-9807,charles.johnson@email.com,Stanford University School of Medicine,2002,UCLA Medical Center,,English,True,None,No,Kaiser Permanente,2025-08-23
A96309,Dr. Sarah Singh,Sarah,Singh,,DO,Physician and Surgeon,Pulmonology,,Expired,2020-04-28,2025-03-07,2024-04-27,8154 Hollywood Blvd,San Francisco,CA,95001,Los Angeles,(917) 613-1681,,University of Michigan Medical School,1990,Johns Hopkins Hospital,Pulmonology,"English, Spanish, Portuguese",True,None,No,UCSF Medical Center,2025-03-09
A74387,"Priya Lee, DO PhD",Priya,Lee,,DO PhD,Physician and Surgeon,Radiology,,Expired,2019-03-26,2023-08-02,2022-09-19,3293 Melrose Ave,Sacramento,CA,90003,Fresno,2123922461,priya.lee@email.com,Harvard Medical School,1998,Massachusetts General Hospital,Radiology,"English, Spanish",False,None,Yes,Stanford Hospital,2025-08-07
A38114,"Jennifer Gonzalez, MD PhD",Jennifer,Gonzalez,,MD PhD,Physician and Surgeon,Pulmonology,,Expired,2019-10-18,2023-07-22,2023-03-17,860 Rodeo Dr,San Francisco,CA,94001,Riverside,(212) 246-7250,jennifer.gonzalez@email.com,Harvard Medical School,2001,Cleveland Clinic,Pulmonology,"English, Spanish",True,None,No,UCLA Medical Center,2025-07-28
A84725,"Ahmed Anderson, MD",Ahmed,Anderson,,MD,Physician and Surgeon,Cardiology,,Expired,2021-05-10,2024-06-19,2024-02-07,1889 Sunset Blvd,Santa Ana,CA,90002,Fresno,(212) 680-8844,,Harvard Medical School,2003,UCSF Medical Center,Cardiology,"English, Spanish",True,None,Yes,,2025-04-17
A69285,"Linda Sharma, DO",Linda,Sharma,,DO,Physician and Surgeon,Oncology,,Expired,2023-05-11,2025-06-28,2024-11-14,2049 Beverly Dr,San Jose,CA,92001,Los Angeles,(917) 929-4128,linda.sharma@email.com,NYU Grossman School of Medicine,1977,Mount Sinai Hospital,Oncology,"English, Spanish, Portuguese",False,None,No,Cedars-Sinai Medical Center,2025-07-22
A13072,Dr. Mohammed Zhang,Mohammed,Zhang,,DO PhD,Physician and Surgeon,Radiology,,Active,2021-04-21,2025-09-29,2024-10-14,5984 Melrose Ave,San Jose,CA,94001,Santa Clara,347- 967-8505,mohammed.zhang@email.com,Yale School of Medicine,1997,Massachusetts General Hospital,Radiology,"English, Spanish",False,None,Unknown,,2025-07-18
A79540,"Jennifer Zhang, MD PhD",Jennifer,Zhang,,MD PhD,Physician and Surgeon,Emergency Medicine,Urology,Expired,2018-06-26,2023-01-15,2022-08-06,8302 Melrose Ave,San Jose,CA,92001,Alameda,2132818306,jennifer.zhang@email.com,University of Michigan Medical School,1999,UCLA Medical Center,Emergency Medicine,"English, Spanish, Portuguese",False,None,Yes,UCLA Medical Center,2025-06-03
A74105,"Karen Jones, MD PhD",Karen,Jones,,MD PhD,Physician and Surgeon,Ophthalmology,,Expired,2023-08-30,2024-10-03,2024-04-08,5228 Santa Monica Blvd,Sacramento,CA,93001,Contra Costa,(929) 612-8596,karen.jones@email.com,Johns Hopkins School of Medicine,2007,UCSF Medical Center,,"English, Spanish",True,None,Unknown,,2025-07-24
A44866,Dr. Mohammed Miller,Mohammed,Miller,C,DO PhD,Physician and Surgeon,Pulmonology,,Expired,2021-09-21,2023-05-18,2023-03-02,5270 Wilshire Blvd,Santa Ana,CA,93001,Fresno,(626) 203-6361,mohammed.miller@email.com,Johns Hopkins School of Medicine,1981,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",True,None,No,,2025-07-25
A35551,"Mary Liu, DO",Mary,Liu,,DO,Physician and Surgeon,Endocrinology,,Active,2023-12-22,2025-12-08,2025-01-02,3084 Pico Blvd,San Diego,CA,90005,Orange,(347) 225-1472,mary.liu@email.com,NYU Grossman School of Medicine,2012,Mount Sinai Hospital,,English,False,None,Unknown,Kaiser Permanente,2025-08-27
A97428,"Jennifer Lee, DO PhD",Jennifer,Lee,,DO PhD,Physician and Surgeon,Pediatrics,Cardiology,Expired,2020-04-21,2024-05-23,2024-01-30,9861 Sunset Blvd,Santa Ana,CA,93001,Contra Costa,347- 655-7249,,Harvard Medical School,2014,UCLA Medical Center,Pediatrics,English,False,None,Yes,,2025-07-24
A91928,"Rodriguez, Mohammed MD PhD",Mohammed,Rodriguez,,MD PhD,Physician and Surgeon,Urology,Orthopedic Surgery,Expired,2021-10-28,2023-10-25,2023-09-16,7645 Santa Monica Blvd,San Francisco,CA,90001,Santa Clara,(718) 713-9912,,Harvard Medical School,1980,NewYork-Presbyterian Hospital,Urology,English,False,None,No,Kaiser Permanente,2025-05-19
A14051,"Ana Kumar, DO PhD",Ana,Kumar,,DO PhD,Physician and Surgeon,Pediatrics,Otolaryngology,Expired,2022-02-02,2025-05-04,2025-03-09,2577 Hollywood Blvd,Fresno,CA,93001,Contra Costa,(626) 549-5972,ana.kumar@email.com,UCSF School of Medicine,1997,Mount Sinai Hospital,,English,False,None,No,UCLA Medical Center,2025-03-14
A70645,"LINDA GONZALEZ, DO",Linda,Gonzalez,,DO,Physician and Surgeon,Orthopedic Surgery,,Active,2023-12-04,2025-12-01,2025-03-22,4834 Hollywood Blvd,Sacramento,CA,94001,Sacramento,(917) 601-8935,,UCSF School of Medicine,1981,UCLA Medical Center,,"English, Spanish",False,None,Unknown,Stanford Hospital,2025-03-23
A21395,"Rajesh G Davis, MD",Rajesh G,Davis,,MD,Physician and Surgeon,Internal Medicine,,Expired,2022-02-17,2025-05-14,2025-03-15,4013 Hollywood Blvd,San Francisco,CA,90002,Fresno,818- 865-9928,rajesh g.davis@email.com,University of Michigan Medical School,1991,NewYork-Presbyterian Hospital,Internal Medicine,"English, Spanish",False,None,Yes,Kaiser Permanente,2025-07-28
A21915,"Joseph D Chen, MD PhD",Joseph D,Chen,,MD PhD,Physician and Surgeon,Cardiology,Neurology,Expired,2019-10-27,2023-04-07,2023-01-04,7020 Pico Blvd,Oakland,CA,91001,Los Angeles,(323) 457-1188,joseph d.chen@email.com,Columbia University Vagelos College of Physicians and Surgeons,1986,UCLA Medical Center,Cardiology,English,False,None,No,Kaiser Permanente,2025-07-09
A36365,"David H Shah, MD",David H,Shah,C,MD,Physician and Surgeon,Oncology,,Expired,2023-02-13,2024-09-30,2023-12-15,8728 Sunset Blvd,San Francisco,CA,93001,San Diego,(212) 802-4770,david h.shah@email.com,Stanford University School of Medicine,2016,Massachusetts General Hospital,Oncology,"English, Spanish, Portuguese",True,None,No,Kaiser Permanente,2025-03-30
A36365,"Dave Shah, MD",Dave,Shah,D,MD,Physician and Surgeon,Oncology,Orthopedic Surgery,Expired,2020-04-24,2024-09-30,2024-01-11,8728 Sunset Blvd,San Francisco,CA,93001,Riverside,(212) 802-4770,dave.shah@email.com,Stanford University School of Medicine,2016,Massachusetts General Hospital,Oncology,English,True,None,No,Stanford Hospital,2025-05-21
A17455,"Christopher A Brown, MD",Christopher A,Brown,,MD,Physician and Surgeon,Pediatrics,,Active,2020-11-21,2025-11-06,2025-07-29,937 Main St,Santa Ana,CA,94001,Orange,(424) 808-1651,christopher a.brown@email.com,University of Michigan Medical School,1993,UCLA Medical Center,Pediatrics,"English, Spanish, Portuguese",True,None,Yes,UCSF Medical Center,2025-03-25
A30374,"Susan R Smith, MD PhD",Susan R,Smith,D,MD PhD,Physician and Surgeon,Anesthesiology,,Expired,2022-01-05,2024-07-11,2023-10-04,1698 Sunset Blvd,FRESNO,CA,90002,Los Angeles,(718) 849-7939,,NYU Grossman School of Medicine,2016,Mayo Clinic,Anesthesiology,"English, Spanish",False,None,Unknown,UCLA Medical Center,2025-03-18
A39831,"Fatima W Perez, DO PhD",Fatima W,Perez,C,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2019-10-28,2024-04-01,2023-04-10,4066 Melrose Ave,San Francisco,CA,90002,Alameda,(626) 749-6425,fatima w.perez@email.com,Johns Hopkins School of Medicine,2001,NewYork-Presbyterian Hospital,Family Medicine,"English, Spanish, Portuguese",True,None,Yes,Kaiser Permanente,2025-07-12
A80575,"Karen H Ramirez, MD PhD",Karen H,Ramirez,,MD PhD,Physician and Surgeon,Pathology,,Expired,2020-04-17,2024-02-08,2023-10-27,5140 Rodeo Dr,San Diego,CA,92001,Riverside,(626) 618-6344,,Johns Hopkins School of Medicine,1982,Cleveland Clinic,,English,False,None,Unknown,Kaiser Permanente,2025-05-22
A62383,"MICHAEL X THOMAS, DO PHD",Michael X,Thomas,D,DO PhD,Physician and Surgeon,Dermatology,,Expired,2022-10-13,2024-05-14,2024-03-20,1194 Santa Monica Blvd,Oakland,CA,95001,Los Angeles,(917) 324-8478,,Yale School of Medicine,1986,UCLA Medical Center,,"English, Spanish",True,None,Yes,,2025-03-31
A62383,"Mike Thomas, DO PhD",Mike,Thomas,,DO PhD,Physician and Surgeon,Dermatology,,Expired,2021-05-30,2024-05-14,2023-07-12,1194 Santa Monica Blvd,Oakland,CA,95001,San Diego,(917) 324-8478,mike.thomas@email.com,Yale School of Medicine,1985,UCLA Medical Center,,English,False,Yes - See Details,No,Stanford Hospital,2025-05-27
A93579,"Kumar, Wei Z DO PhD",Wei Z,Kumar,,DO PhD,Physician and Surgeon,Endocrinology,,Expired,2021-03-09,2024-07-21,2023-09-28,8977 Santa Monica Blvd,SAN FRANCISCO,CA,93001,Orange,(929) 753-2320,wei z.kumar@email.com,UCLA David Geffen School of Medicine,2002,Mayo Clinic,Endocrinology,English,False,None,Yes,Kaiser Permanente,2025-08-01
A21003,"Priya C Sanchez, DO",Priya C,Sanchez,,DO,Physician and Surgeon,Dermatology,Endocrinology,Expired,2021-11-29,2025-05-27,2024-06-06,2092 Pico Blvd,Los Angeles,CA,92001,San Diego,(929) 979-7211,priya c.sanchez@email.com,Stanford University School of Medicine,2000,Mount Sinai Hospital,,"English, Spanish, Portuguese",True,None,No,UCSF Medical Center,2025-03-17
A41266,"Michael N Thompson, DO",Michael N,Thompson,A,DO,Physician and Surgeon,Nephrology,,Expired,2018-12-03,2023-09-16,2023-03-08,660 Main St,San Jose,CA,90004,Santa Clara,(818) 935-2876,,University of Michigan Medical School,2011,Massachusetts General Hospital,,"English, Spanish, Portuguese",True,None,No,Kaiser Permanente,2025-08-09
A41266,"MIKE THOMPSON, DO",Mike,Thompson,,DO,Physician and Surgeon,Nephrology,,Expired,2021-07-25,2023-09-16,2022-12-01,660 Main St,San Jose,CA,90004,Orange,(818) 935-2876,mike.thompson@email.com,University of Michigan Medical School,2013,Massachusetts General Hospital,,"English, Mandarin",False,None,Yes,Stanford Hospital,2025-06-18
A68333,"Rodriguez, Mohammed MD",Mohammed,Rodriguez,B,MD,Physician and Surgeon,Nephrology,,Active,2022-01-27,2026-11-08,2025-02-04,6932 Pico Blvd,San Jose,CA,93968,Los Angeles,(323) 203-8492,mohammed.rodriguez@email.com,UCSF School of Medicine,2011,Stanford Hospital,Nephrology,English,True,None,Yes,,2025-09-02
A99860,"Chen, Thomas MD PhD",Thomas,Chen,B,MD PhD,Physician and Surgeon,Oncology,,Expired,2020-07-31,2025-05-02,2024-12-16,3171 Pico Blvd,San Diego,CA,92367,Sacramento,(323) 845-6625,thomas.chen@email.com,UCLA David Geffen School of Medicine,2002,Stanford Hospital,Otolaryngology,English,True,None,Yes,,2025-09-02
A59914,"Sharma, Jessica MD",Jessica,Sharma,B,MD,Physician and Surgeon,Otolaryngology,,Active,2017-09-08,2025-03-14,2025-04-20,4752 Beverly Dr,San Jose,CA,90081,Santa Clara,(646) 321-1514,jessica.sharma@email.com,UCLA David Geffen School of Medicine,2002,UCLA Medical Center,Pulmonology,English,True,None,Yes,,2025-09-02
A47994,"Sanchez, Michael DO PhD",Michael,Sanchez,,DO PhD,Physician and Surgeon,Family Medicine,,Active,2021-08-31,2025-11-18,2024-12-03,4140 Beverly Dr,San Diego,CA,95453,Los Angeles,(929) 694-5999,michael.sanchez@email.com,Stanford University School of Medicine,2016,Stanford Hospital,Ophthalmology,English,True,None,Yes,,2025-09-02
A44329,"Yang, Joseph DO PhD",Joseph,Yang,,DO PhD,Physician and Surgeon,Ophthalmology,,Active,2019-10-11,2026-04-15,2025-05-04,239 Sunset Blvd,Los Angeles,CA,90005,Riverside,(212) 895-6651,joseph.yang@email.com,Stanford University School of Medicine,2002,Stanford Hospital,Oncology,English,True,None,Yes,,2025-09-02
A94547,"Zhang, James MD PhD",James,Zhang,A,MD PhD,Physician and Surgeon,Family Medicine,,Active,2019-08-31,2026-03-17,2025-04-06,1591 Ventura Blvd,San Francisco,CA,93538,Sacramento,(424) 253-9235,james.zhang@email.com,UCSF School of Medicine,2019,Stanford Hospital,Family Medicine,English,True,None,Yes,,2025-09-02
A31233,"Davis, Rajesh DO PhD",Rajesh,Davis,C,DO PhD,Physician and Surgeon,Internal Medicine,,Active,2023-04-29,2025-06-09,2024-10-14,3344 Rodeo Dr,San Francisco,CA,92482,San Bernardino,(646) 815-1708,rajesh.davis@email.com,UCSF School of Medicine,2005,UCSF Medical Center,Radiology,English,True,None,Yes,,2025-09-02
A59050,"Chen, Linda DO PhD",Linda,Chen,A,DO PhD,Physician and Surgeon,Anesthesiology,,Active,2023-03-29,2026-03-07,2025-06-22,2066 Wilshire Blvd,San Jose,CA,93913,Orange,(929) 635-3920,linda.chen@email.com,UCLA David Geffen School of Medicine,2020,UCLA Medical Center,Cardiology,English,True,None,Yes,,2025-09-02
A40921,"Smith, Karen MD PhD",Karen,Smith,A,MD PhD,Physician and Surgeon,Anesthesiology,,Active,2018-09-29,2025-03-16,2025-04-23,8175 Melrose Ave,San Francisco,CA,95609,Santa Clara,(929) 811-4650,karen.smith@email.com,Stanford University School of Medicine,2003,UCSF Medical Center,Orthopedic Surgery,English,True,None,Yes,,2025-09-02
A50965,"Anderson, James DO",James,Anderson,,DO,Physician and Surgeon,Nephrology,,Expired,2022-10-03,2025-07-04,2025-04-08,5457 Beverly Dr,Los Angeles,CA,90027,Riverside,(213) 330-4028,james.anderson@email.com,UCLA David Geffen School of Medicine,2019,UCLA Medical Center,Nephrology,English,True,None,Yes,,2025-09-02
A74835,"Martinez, Joseph DO PhD",Joseph,Martinez,A,DO PhD,Physician and Surgeon,Gastroenterology,,Inactive,2020-08-21,2026-08-16,2024-10-09,8939 Hollywood Blvd,San Francisco,CA,94539,Santa Clara,(646) 385-6001,joseph.martinez@email.com,UCLA David Geffen School of Medicine,2011,UCSF Medical Center,Dermatology,English,True,None,Yes,,2025-09-02
A63225,"Lee, Ahmed MD",Ahmed,Lee,,MD,Physician and Surgeon,Endocrinology,,Active,2019-12-31,2026-06-29,2025-02-26,1377 Santa Monica Blvd,Los Angeles,CA,94334,Los Angeles,(929) 515-2519,ahmed.lee@email.com,UCSF School of Medicine,2004,UCSF Medical Center,Anesthesiology,English,True,None,Yes,,2025-09-02
A57988,"Patel, Thomas DO",Thomas,Patel,A,DO,Physician and Surgeon,Pathology,,Inactive,2022-02-02,2025-12-15,2025-01-21,8666 Melrose Ave,San Francisco,CA,95753,Fresno,(310) 404-5259,thomas.patel@email.com,UCSF School of Medicine,2017,Stanford Hospital,Neurology,English,True,None,Yes,,2025-09-02
A74006,"Perez, Michael DO",Michael,Perez,,DO,Physician and Surgeon,Psychiatry,,Inactive,2021-06-26,2025-06-21,2024-12-05,3568 Rodeo Dr,San Diego,CA,96762,Contra Costa,(424) 386-7997,michael.perez@email.com,UCLA David Geffen School of Medicine,2006,UCSF Medical Center,Endocrinology,English,True,None,Yes,,2025-09-02
A56219,"Lopez, Jessica MD",Jessica,Lopez,A,MD,Physician and Surgeon,Nephrology,,Active,2018-05-06,2025-09-03,2025-08-29,4674 Ventura Blvd,Los Angeles,CA,92567,Orange,(718) 655-6009,jessica.lopez@email.com,UCSF School of Medicine,2000,Stanford Hospital,Neurology,English,True,None,Yes,,2025-09-02
A73259,"Lee, Fatima DO",Fatima,Lee,,DO,Physician and Surgeon,Cardiology,,Inactive,2017-12-07,2026-09-15,2025-07-10,5837 Rodeo Dr,San Jose,CA,94067,San Diego,(818) 690-8253,fatima.lee@email.com,Stanford University School of Medicine,2002,UCLA Medical Center,Otolaryngology,English,True,None,Yes,,2025-09-02
A50683,"Sanchez, Ana MD",Ana,Sanchez,A,MD,Physician and Surgeon,Neurology,,Active,2019-03-26,2025-07-03,2024-11-06,9906 Pico Blvd,San Jose,CA,92146,Santa Clara,(212) 824-1475,ana.sanchez@email.com,Stanford University School of Medicine,1991,UCLA Medical Center,Internal Medicine,English,True,None,Yes,,2025-09-02
